path,source_file,kalimat,product,quantity,tipe,speaker,intent,path_abs,feat_path,duration,n_frames,split,id,feature_path,frames
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_014.mp3,synt_014.wav,catat 5 beras,beras,5.0,synt,tts_google,add_item,,,1.504,,,13,data\features\13.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_015.mp3,synt_015.wav,catat 1 teh,teh,1.0,synt,tts_google,add_item,,,1.408,,,14,data\features\14.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_016.mp3,synt_016.wav,catat 5 gula,gula,5.0,synt,tts_google,add_item,,,1.408,,,15,data\features\15.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_017.mp3,synt_017.wav,catat 1 gula,gula,1.0,synt,tts_google,add_item,,,1.44,,,16,data\features\16.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_018.mp3,synt_018.wav,catat 5 teh,teh,5.0,synt,tts_google,add_item,,,1.376,,,17,data\features\17.npy,87
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_019.mp3,synt_019.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.44,,,18,data\features\18.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_020.mp3,synt_020.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.472,,,19,data\features\19.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_021.mp3,synt_021.wav,catat 3 gula,gula,3.0,synt,tts_google,add_item,,,1.376,,,20,data\features\20.npy,87
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_022.mp3,synt_022.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.472,,,21,data\features\21.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_023.mp3,synt_023.wav,catat 5 beras,beras,5.0,synt,tts_google,add_item,,,1.504,,,22,data\features\22.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_024.mp3,synt_024.wav,catat 5 telur,telur,5.0,synt,tts_google,add_item,,,1.44,,,23,data\features\23.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_025.mp3,synt_025.wav,catat 2 kopi,kopi,2.0,synt,tts_google,add_item,,,1.44,,,24,data\features\24.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_026.mp3,synt_026.wav,catat 5 sabun,sabun,5.0,synt,tts_google,add_item,,,1.6,,,25,data\features\25.npy,101
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_027.mp3,synt_027.wav,catat 2 minyak,minyak,2.0,synt,tts_google,add_item,,,1.344,,,26,data\features\26.npy,85
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_028.mp3,synt_028.wav,catat 3 sabun,sabun,3.0,synt,tts_google,add_item,,,1.6,,,27,data\features\27.npy,101
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_029.mp3,synt_029.wav,catat 1 telur,telur,1.0,synt,tts_google,add_item,,,1.472,,,28,data\features\28.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_030.mp3,synt_030.wav,catat 3 sabun,sabun,3.0,synt,tts_google,add_item,,,1.6,,,29,data\features\29.npy,101
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_031.mp3,synt_031.wav,catat 4 teh,teh,4.0,synt,tts_google,add_item,,,1.408,,,30,data\features\30.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_032.mp3,synt_032.wav,catat 5 minyak,minyak,5.0,synt,tts_google,add_item,,,1.408,,,31,data\features\31.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_033.mp3,synt_033.wav,catat 2 sabun,sabun,2.0,synt,tts_google,add_item,,,1.536,,,32,data\features\32.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_034.mp3,synt_034.wav,catat 1 sabun,sabun,1.0,synt,tts_google,add_item,,,1.632,,,33,data\features\33.npy,103
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_035.mp3,synt_035.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.472,,,34,data\features\34.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_036.mp3,synt_036.wav,catat 2 gula,gula,2.0,synt,tts_google,add_item,,,1.344,,,35,data\features\35.npy,85
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_037.mp3,synt_037.wav,catat 5 susu,susu,5.0,synt,tts_google,add_item,,,1.504,,,36,data\features\36.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_038.mp3,synt_038.wav,catat 5 susu,susu,5.0,synt,tts_google,add_item,,,1.504,,,37,data\features\37.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_039.mp3,synt_039.wav,catat 2 kopi,kopi,2.0,synt,tts_google,add_item,,,1.44,,,38,data\features\38.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_040.mp3,synt_040.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.472,,,39,data\features\39.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_041.mp3,synt_041.wav,catat 3 mie,mie,3.0,synt,tts_google,add_item,,,1.312,,,40,data\features\40.npy,83
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_042.mp3,synt_042.wav,catat 1 air mineral,air mineral,1.0,synt,tts_google,add_item,,,2.016,,,41,data\features\41.npy,127
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_043.mp3,synt_043.wav,catat 3 kopi,kopi,3.0,synt,tts_google,add_item,,,1.504,,,42,data\features\42.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_044.mp3,synt_044.wav,catat 2 beras,beras,2.0,synt,tts_google,add_item,,,1.376,,,43,data\features\43.npy,87
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_045.mp3,synt_045.wav,catat 5 minyak,minyak,5.0,synt,tts_google,add_item,,,1.408,,,44,data\features\44.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_046.mp3,synt_046.wav,catat 3 minyak,minyak,3.0,synt,tts_google,add_item,,,1.408,,,45,data\features\45.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_047.mp3,synt_047.wav,catat 4 gula,gula,4.0,synt,tts_google,add_item,,,1.44,,,46,data\features\46.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_048.mp3,synt_048.wav,catat 2 teh,teh,2.0,synt,tts_google,add_item,,,1.312,,,47,data\features\47.npy,83
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_049.mp3,synt_049.wav,catat 5 telur,telur,5.0,synt,tts_google,add_item,,,1.44,,,48,data\features\48.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_050.mp3,synt_050.wav,catat 2 minyak,minyak,2.0,synt,tts_google,add_item,,,1.344,,,49,data\features\49.npy,85
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_051.mp3,synt_051.wav,catat 3 susu,susu,3.0,synt,tts_google,add_item,,,1.504,,,50,data\features\50.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_052.mp3,synt_052.wav,catat 3 susu,susu,3.0,synt,tts_google,add_item,,,1.504,,,51,data\features\51.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_053.mp3,synt_053.wav,catat 3 air mineral,air mineral,3.0,synt,tts_google,add_item,,,1.952,,,52,data\features\52.npy,123
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_054.mp3,synt_054.wav,catat 4 sabun,sabun,4.0,synt,tts_google,add_item,,,1.632,,,53,data\features\53.npy,103
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_055.mp3,synt_055.wav,catat 5 sabun,sabun,5.0,synt,tts_google,add_item,,,1.6,,,54,data\features\54.npy,101
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_056.mp3,synt_056.wav,catat 2 telur,telur,2.0,synt,tts_google,add_item,,,1.376,,,55,data\features\55.npy,87
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_057.mp3,synt_057.wav,catat 5 mie,mie,5.0,synt,tts_google,add_item,,,1.28,,,56,data\features\56.npy,81
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_058.mp3,synt_058.wav,catat 2 susu,susu,2.0,synt,tts_google,add_item,,,1.472,,,57,data\features\57.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_059.mp3,synt_059.wav,catat 2 beras,beras,2.0,synt,tts_google,add_item,,,1.376,,,58,data\features\58.npy,87
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_060.mp3,synt_060.wav,catat 5 susu,susu,5.0,synt,tts_google,add_item,,,1.504,,,59,data\features\59.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_061.mp3,synt_061.wav,catat 2 minyak,minyak,2.0,synt,tts_google,add_item,,,1.344,,,60,data\features\60.npy,85
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_062.mp3,synt_062.wav,catat 2 kopi,kopi,2.0,synt,tts_google,add_item,,,1.44,,,61,data\features\61.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_063.mp3,synt_063.wav,catat 4 air mineral,air mineral,4.0,synt,tts_google,add_item,,,2.016,,,62,data\features\62.npy,127
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_064.mp3,synt_064.wav,catat 3 minyak,minyak,3.0,synt,tts_google,add_item,,,1.408,,,63,data\features\63.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_065.mp3,synt_065.wav,catat 3 mie,mie,3.0,synt,tts_google,add_item,,,1.312,,,64,data\features\64.npy,83
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_066.mp3,synt_066.wav,catat 5 kopi,kopi,5.0,synt,tts_google,add_item,,,1.504,,,65,data\features\65.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_067.mp3,synt_067.wav,catat 3 teh,teh,3.0,synt,tts_google,add_item,,,1.376,,,66,data\features\66.npy,87
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_068.mp3,synt_068.wav,catat 2 air mineral,air mineral,2.0,synt,tts_google,add_item,,,1.888,,,67,data\features\67.npy,119
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_069.mp3,synt_069.wav,catat 5 sabun,sabun,5.0,synt,tts_google,add_item,,,1.6,,,68,data\features\68.npy,101
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_070.mp3,synt_070.wav,catat 1 susu,susu,1.0,synt,tts_google,add_item,,,1.536,,,69,data\features\69.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_071.mp3,synt_071.wav,catat 3 susu,susu,3.0,synt,tts_google,add_item,,,1.504,,,70,data\features\70.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_072.mp3,synt_072.wav,catat 2 teh,teh,2.0,synt,tts_google,add_item,,,1.312,,,71,data\features\71.npy,83
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_073.mp3,synt_073.wav,catat 5 kopi,kopi,5.0,synt,tts_google,add_item,,,1.504,,,72,data\features\72.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_074.mp3,synt_074.wav,catat 3 susu,susu,3.0,synt,tts_google,add_item,,,1.504,,,73,data\features\73.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_075.mp3,synt_075.wav,catat 1 beras,beras,1.0,synt,tts_google,add_item,,,1.504,,,74,data\features\74.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_076.mp3,synt_076.wav,catat 2 minyak,minyak,2.0,synt,tts_google,add_item,,,1.344,,,75,data\features\75.npy,85
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_077.mp3,synt_077.wav,catat 1 susu,susu,1.0,synt,tts_google,add_item,,,1.536,,,76,data\features\76.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_078.mp3,synt_078.wav,catat 1 kopi,kopi,1.0,synt,tts_google,add_item,,,1.536,,,77,data\features\77.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_079.mp3,synt_079.wav,catat 4 teh,teh,4.0,synt,tts_google,add_item,,,1.408,,,78,data\features\78.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_080.mp3,synt_080.wav,catat 4 mie,mie,4.0,synt,tts_google,add_item,,,1.344,,,79,data\features\79.npy,85
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_081.mp3,synt_081.wav,catat 4 air mineral,air mineral,4.0,synt,tts_google,add_item,,,2.016,,,80,data\features\80.npy,127
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_082.mp3,synt_082.wav,catat 3 telur,telur,3.0,synt,tts_google,add_item,,,1.44,,,81,data\features\81.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_083.mp3,synt_083.wav,catat 1 susu,susu,1.0,synt,tts_google,add_item,,,1.536,,,82,data\features\82.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_084.mp3,synt_084.wav,catat 5 mie,mie,5.0,synt,tts_google,add_item,,,1.28,,,83,data\features\83.npy,81
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_085.mp3,synt_085.wav,catat 5 minyak,minyak,5.0,synt,tts_google,add_item,,,1.408,,,84,data\features\84.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_086.mp3,synt_086.wav,catat 4 beras,beras,4.0,synt,tts_google,add_item,,,1.536,,,85,data\features\85.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_087.mp3,synt_087.wav,catat 2 mie,mie,2.0,synt,tts_google,add_item,,,1.248,,,86,data\features\86.npy,79
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_088.mp3,synt_088.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.44,,,87,data\features\87.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_089.mp3,synt_089.wav,catat 2 susu,susu,2.0,synt,tts_google,add_item,,,1.472,,,88,data\features\88.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_090.mp3,synt_090.wav,catat 5 beras,beras,5.0,synt,tts_google,add_item,,,1.504,,,89,data\features\89.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_091.mp3,synt_091.wav,catat 4 air mineral,air mineral,4.0,synt,tts_google,add_item,,,2.016,,,90,data\features\90.npy,127
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_092.mp3,synt_092.wav,catat 1 sabun,sabun,1.0,synt,tts_google,add_item,,,1.632,,,91,data\features\91.npy,103
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_093.mp3,synt_093.wav,catat 2 air mineral,air mineral,2.0,synt,tts_google,add_item,,,1.888,,,92,data\features\92.npy,119
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_094.mp3,synt_094.wav,catat 3 kopi,kopi,3.0,synt,tts_google,add_item,,,1.504,,,93,data\features\93.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_095.mp3,synt_095.wav,catat 1 susu,susu,1.0,synt,tts_google,add_item,,,1.536,,,94,data\features\94.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_096.mp3,synt_096.wav,catat 2 air mineral,air mineral,2.0,synt,tts_google,add_item,,,1.888,,,95,data\features\95.npy,119
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_097.mp3,synt_097.wav,catat 2 susu,susu,2.0,synt,tts_google,add_item,,,1.472,,,96,data\features\96.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_098.mp3,synt_098.wav,catat 5 air mineral,air mineral,5.0,synt,tts_google,add_item,,,1.952,,,97,data\features\97.npy,123
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_099.mp3,synt_099.wav,catat 5 beras,beras,5.0,synt,tts_google,add_item,,,1.504,,,98,data\features\98.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_100.mp3,synt_100.wav,catat 5 telur,telur,5.0,synt,tts_google,add_item,,,1.44,,,99,data\features\99.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_101.mp3,synt_101.wav,catat 4 beras,beras,4.0,synt,tts_google,add_item,,,1.536,,,100,data\features\100.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_102.mp3,synt_102.wav,catat 1 teh,teh,1.0,synt,tts_google,add_item,,,1.408,,,101,data\features\101.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_103.mp3,synt_103.wav,catat 1 air mineral,air mineral,1.0,synt,tts_google,add_item,,,2.016,,,102,data\features\102.npy,127
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_104.mp3,synt_104.wav,catat 3 telur,telur,3.0,synt,tts_google,add_item,,,1.44,,,103,data\features\103.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_105.mp3,synt_105.wav,catat 4 air mineral,air mineral,4.0,synt,tts_google,add_item,,,2.016,,,104,data\features\104.npy,127
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_106.mp3,synt_106.wav,catat 5 sabun,sabun,5.0,synt,tts_google,add_item,,,1.6,,,105,data\features\105.npy,101
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_107.mp3,synt_107.wav,catat 5 air mineral,air mineral,5.0,synt,tts_google,add_item,,,1.952,,,106,data\features\106.npy,123
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_108.mp3,synt_108.wav,catat 5 minyak,minyak,5.0,synt,tts_google,add_item,,,1.408,,,107,data\features\107.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_109.mp3,synt_109.wav,catat 4 telur,telur,4.0,synt,tts_google,add_item,,,1.472,,,108,data\features\108.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_110.mp3,synt_110.wav,catat 1 kopi,kopi,1.0,synt,tts_google,add_item,,,1.536,,,109,data\features\109.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_111.mp3,synt_111.wav,catat 2 mie,mie,2.0,synt,tts_google,add_item,,,1.248,,,110,data\features\110.npy,79
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_112.mp3,synt_112.wav,catat 5 mie,mie,5.0,synt,tts_google,add_item,,,1.28,,,111,data\features\111.npy,81
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_113.mp3,synt_113.wav,catat 3 susu,susu,3.0,synt,tts_google,add_item,,,1.504,,,112,data\features\112.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_114.mp3,synt_114.wav,catat 4 telur,telur,4.0,synt,tts_google,add_item,,,1.472,,,113,data\features\113.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_115.mp3,synt_115.wav,catat 3 minyak,minyak,3.0,synt,tts_google,add_item,,,1.408,,,114,data\features\114.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_116.mp3,synt_116.wav,catat 4 teh,teh,4.0,synt,tts_google,add_item,,,1.408,,,115,data\features\115.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_117.mp3,synt_117.wav,catat 4 beras,beras,4.0,synt,tts_google,add_item,,,1.536,,,116,data\features\116.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_118.mp3,synt_118.wav,catat 1 mie,mie,1.0,synt,tts_google,add_item,,,1.312,,,117,data\features\117.npy,83
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_119.mp3,synt_119.wav,catat 5 susu,susu,5.0,synt,tts_google,add_item,,,1.504,,,118,data\features\118.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_120.mp3,synt_120.wav,catat 5 gula,gula,5.0,synt,tts_google,add_item,,,1.408,,,119,data\features\119.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_121.mp3,synt_121.wav,catat 3 teh,teh,3.0,synt,tts_google,add_item,,,1.376,,,120,data\features\120.npy,87
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_122.mp3,synt_122.wav,catat 4 beras,beras,4.0,synt,tts_google,add_item,,,1.536,,,121,data\features\121.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_123.mp3,synt_123.wav,catat 5 susu,susu,5.0,synt,tts_google,add_item,,,1.504,,,122,data\features\122.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_124.mp3,synt_124.wav,catat 2 sabun,sabun,2.0,synt,tts_google,add_item,,,1.536,,,123,data\features\123.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_125.mp3,synt_125.wav,catat 1 sabun,sabun,1.0,synt,tts_google,add_item,,,1.632,,,124,data\features\124.npy,103
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_126.mp3,synt_126.wav,catat 2 telur,telur,2.0,synt,tts_google,add_item,,,1.376,,,125,data\features\125.npy,87
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_127.mp3,synt_127.wav,catat 3 minyak,minyak,3.0,synt,tts_google,add_item,,,1.408,,,126,data\features\126.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_128.mp3,synt_128.wav,catat 1 beras,beras,1.0,synt,tts_google,add_item,,,1.504,,,127,data\features\127.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_129.mp3,synt_129.wav,catat 2 mie,mie,2.0,synt,tts_google,add_item,,,1.248,,,128,data\features\128.npy,79
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_130.mp3,synt_130.wav,catat 2 teh,teh,2.0,synt,tts_google,add_item,,,1.312,,,129,data\features\129.npy,83
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_131.mp3,synt_131.wav,catat 1 susu,susu,1.0,synt,tts_google,add_item,,,1.536,,,130,data\features\130.npy,97
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_132.mp3,synt_132.wav,catat 5 minyak,minyak,5.0,synt,tts_google,add_item,,,1.408,,,131,data\features\131.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_133.mp3,synt_133.wav,catat 3 minyak,minyak,3.0,synt,tts_google,add_item,,,1.408,,,132,data\features\132.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_134.mp3,synt_134.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.472,,,133,data\features\133.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_135.mp3,synt_135.wav,catat 2 kopi,kopi,2.0,synt,tts_google,add_item,,,1.44,,,134,data\features\134.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_136.mp3,synt_136.wav,catat 2 kopi,kopi,2.0,synt,tts_google,add_item,,,1.44,,,135,data\features\135.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_137.mp3,synt_137.wav,catat 1 air mineral,air mineral,1.0,synt,tts_google,add_item,,,2.016,,,136,data\features\136.npy,127
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_138.mp3,synt_138.wav,catat 1 beras,beras,1.0,synt,tts_google,add_item,,,1.504,,,137,data\features\137.npy,95
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_139.mp3,synt_139.wav,catat 2 mie,mie,2.0,synt,tts_google,add_item,,,1.248,,,138,data\features\138.npy,79
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_140.mp3,synt_140.wav,catat 2 mie,mie,2.0,synt,tts_google,add_item,,,1.248,,,139,data\features\139.npy,79
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_141.mp3,synt_141.wav,catat 1 air mineral,air mineral,1.0,synt,tts_google,add_item,,,2.016,,,140,data\features\140.npy,127
